

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
077.080  000.078  000.078: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/fzf-lua/plugin/fzf-lua.vim
078.571  000.181  000.181: require('fzf-lua.utils')
078.580  000.313  000.131: require('fzf-lua.path')
078.830  000.130  000.130: require('fzf-lua.actions')
079.292  000.298  000.298: require('nvim-web-devicons.icons-default')
079.341  000.506  000.208: require('nvim-web-devicons')
079.626  000.131  000.131: require('fzf-lua.previewer')
079.678  000.332  000.200: require('fzf-lua.defaults')
079.954  001.371  000.403: require('fzf-lua.config')
080.410  000.219  000.219: require('fzf-lua.win')
080.767  000.159  000.159: require('fzf-lua.fzf')
080.923  000.150  000.150: require('fzf-lua.libuv')
081.063  000.135  000.135: require('fzf-lua.shell')
082.603  001.535  001.535: require('fzf-lua.make_entry')
082.615  002.199  000.219: require('fzf-lua.core')
082.623  005.489  001.388: require('fzf-lua')
084.203  001.130  001.130: require('oil')
084.366  000.156  000.156: require('oil.config')
086.039  001.603  001.603: require('vim.filetype')
086.538  000.099  000.099: require('oil.constants')
086.548  000.258  000.160: require('oil.util')
087.978  000.110  000.110: require('gitsigns.async')
088.112  000.128  000.128: require('gitsigns.config')
088.220  000.103  000.103: require('gitsigns.debug.log')
088.225  001.561  001.220: require('gitsigns')
091.842  000.110  000.110: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/vim-highlightedyank/plugin/highlightedyank.vim
094.605  000.141  000.141: require('ibl.utils')
094.613  000.252  000.111: require('ibl.config')
094.835  000.098  000.098: require('ibl.indent')
094.842  000.226  000.128: require('ibl.hooks')
094.846  000.583  000.106: require('ibl.highlights')
094.941  000.093  000.093: require('ibl.autocmds')
095.039  000.094  000.094: require('ibl.inlay_hints')
095.134  000.091  000.091: require('ibl.virt_text')
095.369  000.142  000.142: require('ibl.scope_languages')
095.375  000.236  000.095: require('ibl.scope')
095.380  002.415  001.317: require('ibl')
097.215  000.097  000.097: require('Comment.config')
097.417  000.101  000.101: require('Comment.ft')
097.423  000.202  000.100: require('Comment.utils')
097.526  000.100  000.100: require('Comment.opfunc')
097.618  000.088  000.088: require('Comment.extra')
097.623  001.851  001.365: require('Comment.api')
097.773  002.103  000.251: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/Comment.nvim/plugin/Comment.lua
097.949  000.107  000.107: require('Comment')
098.368  000.105  000.105: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/lspsaga.nvim/plugin/lspsaga.lua
099.773  001.360  001.360: require('lspsaga')
100.027  000.097  000.097: require('lspsaga.lspkind')
100.033  000.216  000.119: require('lspsaga.highlight')
102.281  000.826  000.826: require('lspsaga.symbol')
102.665  000.099  000.099: require('catppuccin.utils.lualine')
102.677  000.226  000.127: require('lualine.themes.catppuccin')
104.430  000.166  000.166: require('lualine_require')
104.896  002.215  002.050: require('lualine')
111.259  000.113  000.113: require('lualine.utils.mode')
115.550  000.108  000.108: require('nvim-autopairs._log')
115.693  000.137  000.137: require('nvim-autopairs.utils')
116.020  000.109  000.109: require('nvim-autopairs.conds')
116.028  000.219  000.110: require('nvim-autopairs.rule')
116.031  000.333  000.114: require('nvim-autopairs.rules.basic')
116.039  002.180  001.603: require('nvim-autopairs')
116.180  000.128  000.128: require('nvim-autopairs.fastwrap')
116.541  000.122  000.122: require('nvim-autopairs.ts-conds')
